speed,direction,direction_disp,x,y
14.477,323.41,189,197.15,200.68
18.776,326.55,183.03,196.29,200.81
18.188,330.47,177.98,195.16,200.87
18.188,333.3,176.42,194.07,200.83
21.851,334.65,180.54,192.99,200.77
24.192,337.03,190.62,191.67,200.78
27.734,341.48,196.88,190.25,201.05
28.513,346.88,207.28,188.66,201.53
26.34,353.38,217.95,187.13,202.31
24.623,359.11,210.76,185.89,203.28
23.02,5.4403,205.94,184.62,204.04
26.313,12.106,215.65,183.38,204.64
28.107,17.655,213.71,182.09,205.56
31.523,22.346,215.64,180.69,206.5
28.316,26.429,218.38,179.15,207.6
28.697,28.947,226.54,177.82,208.66
28.764,30.306,231.18,176.64,209.91
28.632,30.9,234.66,175.56,211.25
27.404,31.649,243.57,174.56,212.65
27.537,31.988,255.96,173.83,214.13
24.831,31.206,269.23,173.43,215.73
21.94,29.485,279.67,173.41,217.22
19.155,27.786,279.49,173.63,218.52
15.981,27.08,281.23,173.82,219.65
11.621,27.468,309.6,174.01,220.59
11.628,27.51,348.11,174.45,221.13
12.986,27.235,16.47,175.13,221.27
20.431,26.927,31.66,175.88,221.05
21.795,26.25,36.573,176.92,220.41
24.087,25.459,37.155,177.97,219.63
25.406,24.464,39.602,179.13,218.75
32.79,22.458,39.783,180.3,217.78
39.499,20.264,37.64,181.81,216.52
41.07,19.041,41.039,183.69,215.08
39.822,17.96,49.525,185.55,213.46
41.506,17.692,54.093,187.1,211.64
46.33,17.783,58.919,188.56,209.62
50.86,18.029,60.007,189.99,207.24
53.192,17.619,63.72,191.52,204.6
56.823,16.665,63.916,192.93,201.74
59.218,15.853,66.088,194.43,198.68
62.567,15.354,66.174,195.87,195.43
65.549,14.936,65.448,197.39,191.99
68.533,15.093,65.229,199.02,188.42
70.713,15.341,60.612,200.75,184.68
69.247,13.83,55.977,202.83,180.99
72.703,10.26,51.065,205.15,177.54
71.13,6.0613,51.351,207.89,174.15
70.658,1.8218,49.322,210.56,170.82
68.38,356.99,46.901,213.32,167.6
66.06,350.96,44.426,216.13,164.61
64.523,345.63,45.943,218.96,161.83
60.604,340.88,46.343,221.65,159.05
62.539,335.17,48.021,224.16,156.42
62.951,331.46,44.734,226.67,153.63
60.908,328.59,42.064,229.35,150.97
58.774,326.33,36.03,232.07,148.52
55.703,325.25,28.374,234.92,146.45
52.67,324.87,21.131,237.86,144.86
